t   h   p
26.325000   1.005000   0.002601 
26.390000   1.003000   0.003979 
26.455000   1.002000   0.005044 
26.520000   1.002000   0.005044 
26.585000   1.003000   0.004014 
26.650000   1.002000   0.003910 
26.715000   1.001000   0.003281 
26.780000   1.001000   0.002321 
26.845000   1.002000   0.001641 
26.910000   1.000000   0.000942 
26.975000   1.000000   0.000087 
27.040000   1.000000   -0.000175 
27.105000   1.001000   0.000489 
27.170000   1.003000   0.001658 
27.235000   1.003000   0.003142 
27.300000   1.004000   0.004346 
27.365000   1.004000   0.005288 
27.430000   1.003000   0.005341 
27.495000   1.002000   0.004503 
27.560000   1.002000   0.003072 
27.625000   0.999000   0.002635 
27.690000   1.000000   0.004067 
27.755000   1.001000   0.004520 
27.820000   1.003000   0.004311 
27.885000   1.004000   0.004206 
27.950000   1.004000   0.002967 
28.015000   1.004000   0.000942 
28.080000   1.005000   0.001152 
28.145000   1.004000   0.000506 
28.210000   1.002000   0.000541 
28.275000   1.003000   0.001012 
28.340000   1.002000   0.002601 
28.405000   1.003000   0.002775 
28.470000   1.004000   0.003019 
28.535000   1.005000   0.002251 
28.600000   1.005000   0.002129 
28.665000   1.005000   0.001937 
28.730000   1.006000   0.001518 
28.795000   1.007000   0.000628 
28.860000   1.009000   -0.000716 
28.925000   1.007000   -0.000716 
28.990000   1.009000   -0.002199 
29.055000   1.007000   -0.002793 
29.120000   1.006000   -0.002042 
29.185000   1.004000   -0.001536 
29.250000   1.004000   -0.001536 
29.315000   1.002000   0.000716 
29.380000   1.003000   0.000559 
29.445000   1.003000   0.000908 
29.510000   1.007000   0.000576 
29.575000   1.005000   -0.000419 
29.640000   1.002000   0.000017 
29.705000   1.000000   -0.000262 
29.770000   0.999000   -0.000192 
29.835000   0.997000   0.000960 
29.900000   0.998000   -0.000017 
29.965000   0.998000   -0.000192 
30.030000   1.000000   0.001396 
30.095000   1.000000   0.000977 
30.160000   1.000000   0.001885 
30.225000   1.000000   0.002059 
30.290000   1.002000   0.001012 
30.355000   1.001000   -0.000559 
30.420000   1.005000   -0.001937 
30.485000   1.006000   -0.002531 
30.550000   1.005000   -0.002234 
30.615000   1.004000   -0.002007 
30.680000   1.005000   -0.000489 
30.745000   1.001000   -0.001082 
30.810000   1.001000   0.000489 
30.875000   0.997000   -0.000157 
30.940000   0.996000   -0.000035 
31.005000   0.993000   0.000105 
31.070000   0.994000   0.000384 
31.135000   0.994000   -0.000244 
31.200000   0.993000   -0.000070 
31.265000   0.993000   -0.001309 
31.330000   0.994000   -0.002094 
31.395000   0.995000   -0.001780 
31.460000   0.996000   -0.001553 
31.525000   0.996000   -0.000489 
31.590000   0.996000   -0.000297 
31.655000   0.996000   -0.001169 
31.720000   0.984000   -0.001030 
31.785000   0.968000   -0.000541 
31.850000   0.934000   -0.002635 
31.915000   0.902000   -0.004835 
31.980000   0.859000   -0.006528 
32.045000   0.820000   -0.007400 
32.110000   0.820000   -0.009372 
32.175000   0.724000   -0.009128 
32.240000   0.674000   -0.007871 
32.305000   0.623000   -0.005219 
32.370000   0.572000   -0.001728 
32.435000   0.572000   0.000646 
32.500000   0.473000   0.002618 
32.565000   0.425000   0.003875 
32.630000   0.378000   0.004451 
32.695000   0.330000   0.004014 
32.760000   0.281000   0.003997 
32.825000   0.281000   0.003997 
32.890000   0.232000   0.000384 
32.955000   0.232000   -0.005027 
33.020000   0.232000   -0.006650 
33.085000   0.232000   -0.005428 
33.150000   0.232000   -0.010088 
33.215000   0.232000   -0.018745 
33.280000   0.000000   0.004084 
33.345000   0.000000   0.001641 
33.410000   0.000000   0.003875 
33.475000   0.000000   0.004416 
33.540000   0.000000   0.004887 
33.605000   0.000000   0.004817 
33.670000   0.000000   0.004835 
33.735000   0.000000   0.004904 
33.800000   0.000000   0.004782 
33.865000   0.000000   0.004730 
33.930000   0.000000   0.004712 
33.995000   0.000000   0.004852 
34.060000   0.000000   0.004817 
34.125000   0.000000   0.004747 
34.190000   0.000000   0.004852 
34.255000   0.000000   0.004782 
34.320000   0.000000   0.004712 
34.385000   0.000000   0.004712 
34.450000   0.000000   0.004730 
34.515000   0.000000   0.004869 
